Left,Right,Up,Down,Front
Right,Left,Up,Down,Front
Up,Left,Right,Down,Front
Left,Up,Right,Down,Front
Right,Up,Left,Down,Front
Up,Right,Left,Down,Front
Up,Right,Down,Left,Front
Right,Up,Down,Left,Front
Down,Up,Right,Left,Front
Up,Down,Right,Left,Front
Right,Down,Up,Left,Front
Down,Right,Up,Left,Front
Down,Left,Up,Right,Front
Left,Down,Up,Right,Front
Up,Down,Left,Right,Front
Down,Up,Left,Right,Front
Left,Up,Down,Right,Front
Up,Left,Down,Right,Front
Right,Left,Down,Up,Front
Left,Right,Down,Up,Front
Down,Right,Left,Up,Front
Right,Down,Left,Up,Front
Left,Down,Right,Up,Front
Down,Left,Right,Up,Front
Front,Left,Right,Up,Down
Left,Front,Right,Up,Down
Right,Front,Left,Up,Down
Front,Right,Left,Up,Down
Left,Right,Front,Up,Down
Right,Left,Front,Up,Down
Right,Left,Up,Front,Down
Left,Right,Up,Front,Down
Up,Right,Left,Front,Down
Right,Up,Left,Front,Down
Left,Up,Right,Front,Down
Up,Left,Right,Front,Down
Up,Front,Right,Left,Down
Front,Up,Right,Left,Down
Right,Up,Front,Left,Down
Up,Right,Front,Left,Down
Front,Right,Up,Left,Down
Right,Front,Up,Left,Down
Left,Front,Up,Right,Down
Front,Left,Up,Right,Down
Up,Left,Front,Right,Down
Left,Up,Front,Right,Down
Front,Up,Left,Right,Down
Up,Front,Left,Right,Down
Down,Front,Left,Right,Up
Front,Down,Left,Right,Up
Left,Down,Front,Right,Up
Down,Left,Front,Right,Up
Front,Left,Down,Right,Up
Left,Front,Down,Right,Up
Left,Front,Right,Down,Up
Front,Left,Right,Down,Up
Right,Left,Front,Down,Up
Left,Right,Front,Down,Up
Front,Right,Left,Down,Up
Right,Front,Left,Down,Up
Right,Down,Left,Front,Up
Down,Right,Left,Front,Up
Left,Right,Down,Front,Up
Right,Left,Down,Front,Up
Down,Left,Right,Front,Up
Left,Down,Right,Front,Up
Front,Down,Right,Left,Up
Down,Front,Right,Left,Up
Right,Front,Down,Left,Up
Front,Right,Down,Left,Up
Down,Right,Front,Left,Up
Right,Down,Front,Left,Up
Up,Down,Front,Left,Right
Down,Up,Front,Left,Right
Front,Up,Down,Left,Right
Up,Front,Down,Left,Right
Down,Front,Up,Left,Right
Front,Down,Up,Left,Right
Front,Down,Left,Up,Right
Down,Front,Left,Up,Right
Left,Front,Down,Up,Right
Front,Left,Down,Up,Right
Down,Left,Front,Up,Right
Left,Down,Front,Up,Right
Left,Up,Front,Down,Right
Up,Left,Front,Down,Right
Front,Left,Up,Down,Right
Left,Front,Up,Down,Right
Up,Front,Left,Down,Right
Front,Up,Left,Down,Right
Down,Up,Left,Front,Right
Up,Down,Left,Front,Right
Left,Down,Up,Front,Right
Down,Left,Up,Front,Right
Up,Left,Down,Front,Right
Left,Up,Down,Front,Right
Right,Up,Down,Front,Left
Up,Right,Down,Front,Left
Down,Right,Up,Front,Left
Right,Down,Up,Front,Left
Up,Down,Right,Front,Left
Down,Up,Right,Front,Left
Down,Up,Front,Right,Left
Up,Down,Front,Right,Left
Front,Down,Up,Right,Left
Down,Front,Up,Right,Left
Up,Front,Down,Right,Left
Front,Up,Down,Right,Left
Front,Right,Down,Up,Left
Right,Front,Down,Up,Left
Down,Front,Right,Up,Left
Front,Down,Right,Up,Left
Right,Down,Front,Up,Left
Down,Right,Front,Up,Left
Up,Right,Front,Down,Left
Right,Up,Front,Down,Left
Front,Up,Right,Down,Left
Up,Front,Right,Down,Left
Right,Front,Up,Down,Left
Front,Right,Up,Down,Left
